funzione	header	riga	deprecated	firma
VxMemAlloc	zwapi_memory.h	47		Resizes memory chunk that was allocated via VxMemAlloc().
Zw3DBomDataExport	zwapi_3dbom.h	93		ZW_API_C ezwErrors Zw3DBomDataExport(const char *filePath);
Zw3DBomDataFree	zwapi_3dbom.h	73		ZW_API_C ezwErrors Zw3DBomDataFree(szw3DBomData *data);
Zw3DBomDataGet	zwapi_3dbom.h	56		ZW_API_C ezwErrors Zw3DBomDataGet(szw3DBomData *data);
Zw3DBomExcludedStateSet	zwapi_3dbom.h	235		ZW_API_C ezwErrors Zw3DBomExcludedStateSet(szwEntityHandle component, int excludeOption);
Zw3DBomFormatDataGet	zwapi_3dbom.h	195		ZW_API_C ezwErrors Zw3DBomFormatDataGet(szw3DBomFormatData *formatData);
Zw3DBomFormatDataSet	zwapi_3dbom.h	212		ZW_API_C ezwErrors Zw3DBomFormatDataSet(szw3DBomFormatData formatData);
Zw3DBomSettingDataFree	zwapi_3dbom.h	178		ZW_API_C ezwErrors Zw3DBomSettingDataFree(szw3DBomSettingsData *data);
Zw3DBomSettingGet	zwapi_3dbom.h	133		ZW_API_C ezwErrors Zw3DBomSettingGet(szw3DBomSettingsData *data);
Zw3DBomSettingSet	zwapi_3dbom.h	163		ZW_API_C ezwErrors Zw3DBomSettingSet(szw3DBomSettingsData data);
Zw3DBomTemplateSet	zwapi_3dbom.h	255		ZW_API_C ezwErrors Zw3DBomTemplateSet(const char *templateFile);
ZwActiveLCSGet	zwapi_datum.h	713		ZW_API_C ezwErrors ZwActiveLCSGet(szwEntityHandle *handle);
ZwActiveLCSSet	zwapi_datum.h	684		ZW_API_C ezwErrors ZwActiveLCSSet(szwEntityHandle handle);
ZwApiMemAlloc	zwapi_drawing_table.h	108		to free it first, since this function will alloc memory for it as long as the tableFormat.selectedCount > 0, and then call ZwApiMemAlloc() to realloc
ZwApplicationReactorSet	zwapi_global_apply.h	1152		ZW_API_C ezwErrors ZwApplicationReactorSet(ezwApplicationReactorType type, szwApplicationReactorData data);
ZwAssemblyConstraintDataGet	zwapi_assembly_constraint.h	122		ZW_API_C ezwErrors ZwAssemblyConstraintDataGet(szwEntityHandle constraintHandle, szwAssemblyConstraintData *data);
ZwAssemblyConstraintDataSet	zwapi_assembly_constraint.h	147		ZW_API_C ezwErrors ZwAssemblyConstraintDataSet(szwEntityHandle constraintHandle, szwAssemblyConstraintData data);
ZwAssemblyConstraintDimensionGet	zwapi_assembly_constraint.h	84		ZW_API_C ezwErrors ZwAssemblyConstraintDimensionGet(szwEntityHandle constraintHandle, szwEntityHandle *dimensionHandle);
ZwAssemblyConstraintNodeNameGet	zwapi_assembly_constraint.h	213		ZW_API_C ezwErrors ZwAssemblyConstraintNodeNameGet(szwEntityHandle constraintHandle, int nameSize, char *nodeName);
ZwAssemblyConstraintReferenceListGet	zwapi_assembly_constraint.h	192		ZW_API_C ezwErrors ZwAssemblyConstraintReferenceListGet(szwEntityHandle constraintHandle, int *count, szwEntityHandle **referenceList);
ZwAssemblyConstraintTypeGet	zwapi_assembly_constraint.h	167		ZW_API_C ezwErrors ZwAssemblyConstraintTypeGet(szwEntityHandle constraintHandle, ezwAssemblyConstraintType *type);
ZwAssemblyFeatureListGet	zwapi_feature_general.h	44		ZW_API_C ezwErrors ZwAssemblyFeatureListGet(int *countFeature, szwEntityHandle **featureList);
ZwAxisPointDistanceGet	zwapi_point.h	298		ZW_API_C ezwErrors ZwAxisPointDistanceGet(szwAxis axis, szwPoint point, double *distance);
ZwAxisPointGetByDistance	zwapi_point.h	325		ZW_API_C ezwErrors ZwAxisPointGetByDistance(szwAxis axis, double distance, szwPoint *point);
ZwAxisProjectionPointGet	zwapi_point.h	272		ZW_API_C ezwErrors ZwAxisProjectionPointGet(szwAxis axis, szwPoint point, szwPoint *projectPoint);
ZwAxisTransform	zwapi_point.h	246		ZW_API_C ezwErrors ZwAxisTransform(szwMatrix inputMatrix, szwAxis *axis);
ZwBendInformationGet	zwapi_sheet_metal.h	103		ZW_API_C ezwErrors ZwBendInformationGet(szwEntityHandle face, const zwString32 variableName, szwSmdBendInformation *bendInformation);
ZwBoundingBoxTransform	zwapi_boundingbox.h	44		ZW_API_C ezwErrors ZwBoundingBoxTransform(szwMatrix inputMatrix, szwBoundingBox *boundingBox);
ZwCSYSAxisGet	zwapi_datum.h	595		ZW_API_C ezwErrors ZwCSYSAxisGet(szwEntityHandle csys, ezwDatumAxisType type, szwEntityHandle *axis);
ZwCSYSCreateByPlaneAndDirection	zwapi_datum.h	571		ZW_API_C ezwErrors ZwCSYSCreateByPlaneAndDirection(szwDatumCSYSMethodPlaneAndDirection planeDirection, szwEntityHandle *csys);
ZwCSYSCreateByPlaneAndDirectionInit	zwapi_datum.h	540		ZW_API_C ezwErrors ZwCSYSCreateByPlaneAndDirectionInit(szwDatumCSYSMethodPlaneAndDirection *planeDirection);
