comando	label_ribbon	form_dialogo	hint	descrizione
!AnimAddAppKfrm	Appearance	AnimAddAppKfrm	New an appearance keyframe	
!AnimAddMotor	Motor	AnimAddMotor	New a motor	
!AnimAddViewKfrm	Views and Cameras	AnimAddViewKfrm	New a view keyframe	Create a view-type keyframe by the standard views, custom views, or camera views, etc.
!AnimAlnKfrmCmd	Disable/Enable	AnimAlnKfrmCmd	Disable alignments	
!AnimBandAnal	Band Analysis		Band analysis	Select bodies to band analysis.
!AnimCompPos	Print Component Position	AnimCompPos	Select a component	
!AnimImportExp	Import Exploded Animation	AnimImportExp	Import exploded animation	
!AnimInferCrt	Interference		Interference	
!AnimInferList	Interference Information List		Interference information list	
!AnimNewAnimInst	New Animation	AnimNewAnimInst	New animation	
!AnimPosKfrmCmd	Position	AnimPosKfrmCmd	Create a position keyframe	
!AnimTrkCrt	Motion Track		Motion track	
!AsAlnAll	Common Constraint	AsAlnAll	Constrain components and shapes	Create an alignment constraint that associates two components or shells in the active part/assembly.
!AsAlnAll2	Common Constraint	AsAlnAll2	Constrain components and shapes	Create an alignment constraint that associates two components or shells in the active part/assembly.
!AsAlnDelete	Delete Constraint	AsAlnDelete	Unconstrain component or shape	Select the component and then the constraint to delete. You can middle-click to delete all constraints associated with the component.
!AsAlnDisable	Disable	AsAlnDisable	Disable alignments	
!AsAlnDrag	Drag	AsAlnDrag	Drag components	You can test the total freedom of a constraint system within a linkage-type assembly or to reposition a component after it is inserted but prior to placing any alignment constraints on it.
!AsAlnDrag2	Drag	AsAlnDrag2	Drag components	You can test the total freedom of a constraint system within a linkage-type assembly or to reposition a component after it is inserted but prior to placing any alignment constraints on it.
!AsAlnDragRot	Rotate	AsAlnDragRot	Rotate entities about point	Use this command to dynamically rotate the selected shell or component about the center of its bounding box. First select a component to rotate, Then move the cursor and watch as the component rotates freely about or along those axes that are not constrained.
!AsAlnDragRot2	Rotate	AsAlnDragRot2	Rotate entities about point	Use this command to dynamically rotate the selected shell or component about the center of its bounding box. First select a component to rotate, Then move the cursor and watch as the component rotates freely about or along those axes that are not constrained.
!AsAlnEnable	Enable	AsAlnEnable	Enable alignments	
!AsAlnFix	Fix	AsAlnFix	Toggle Fix/Unfix component or shape position	The component is fixed in its current position and will not move when the constraint system is solved. Select the component to fix.  If the component is already fixed, this command will remove the fix.
!AsAlnHandle	Assem Handle	AsAlnHandle	Define assembly constraint handle	
!AsAlnRedefine2	Redefine Constraint	AsAlnRedefine2	Constrain components and shapes	Create an alignment constraint that associates two components or shells in the active part/assembly.
!AsAlnSolve	Solve	AsAlnSolve	Solve alignment constraints	Simultaneously solve the system of constraints.
!AsAlnUseHan	Align Component with Handles	AsAlnUseHan	Constrain components and shapes	Create an alignment constraint that associates two components or shells in the active part/assembly.
!AsEditAlign	Edit Constraint	AsEditAlign	Edit component constraints	An options form similar to the Constrain Components command is displayed listing its constraints.
!AsEditAlign2	Edit Constraint	AsEditAlign2	Edit component constraints	An options form similar to the Constrain Components command is displayed listing its constraints.
!AsMcmPulley	Pulley	AsMcmPulley	Add a pulley	
!AsMechAlnAll	Mechanical Constraint	AsMechAlnAll	Constrain components and shapes	Create an mechanical constraint.
!AsMechAlnRedef	Mechanical Constraint	AsMechAlnRedef	Constrain components and shapes	Create an mechanical constraint.
!AsUnivAlign	Edit Constraint	AsUnivAlign	Create/Edit/Delete component constraints	An options form similar to the constrain components command is displayed listing its constraints.
!AsmAltComAct	Activate Alternate	AsmAltComAct	Activate an alternate component	Once activated, the alternate takes the original component&apos;s place in the assembly.
!AsmAltComAdd	Add Alternate	AsmAltComAdd	Add an alternate component	Assign an alternate to a component. Once assigned, use the Activate Alternate Component cmmand to activate it. The active alternate will be displayed until the original component is reactivated.
!AsmAltComDel	Delete Alternate	AsmAltComDel	Delete an alternate component	Delete an alternate assigned to a component. The alternate object itself is not deleted only its assignment as an alternate to the component.
!AsmAltComInq	Inquire Alternates	AsmAltComInq	Show alternate component table	List all alternates that have been assigned to a component. You can select the component directly or select the name of the component from the History Manager.
!AsmAnimAct	Edit Animation	AsmAnimAct	Edit animation	
!AsmAnimDel	Delete Animation	AsmAnimDel	Delete animation	
!AsmAnimInq	Inquire Animation	AsmAnimInq	Inquire animation	
!AsmComRepAct	Activate Config	AsmComRepAct	Activate a component configuration	Once activated, each component in the assembly is checked to see if it has an alternate component of the same name. If so, that alternate component is displayed.
!AsmComRepAdd	Define Config	AsmComRepAdd	Add name for component configuration	Add a new configuration name to the recorded list of configurations for a component.
!AsmComRepAuto	Record Config	AsmComRepAuto	Record the configuration of the current assembly	Create a component configuration from the active part. Each component in the assembly is checked to see if an alternate component is active. If so, the same alternate component is referenced again by the name of this configuration.
!AsmComRepDel	Delete Config	AsmComRepDel	Delete assembly configuration	Delete the component configuration. No actual component or geometry is deleted, only the configuration assignment.
!AsmComRepExp	Exploded Config	AsmComRepExp	Create exploded assembly configuration	The explosion is for visual purposes only and does not modify the actual location of each component within the assembly.
!AsmComRepInq	Inquire Config	AsmComRepInq	Show component configuration table	List all configurations assigned to the active assembly.
!AsmExpAddStep	Add Exploded Step	AsmExpAddStep	Add an explode step.	Add an explode step.
!AsmExpAddTrail	Add Exploded Trail	AsmExpAddTrail	Add an explode trail.	Add an explode trail.
!AsmExpAutoTrail	Auto Exploded Trail	AsmExpAutoTrail	Add explode trail automatically.	Add explode trail automatically.
!AsmExpConfig	Exploded Config	AsmComRepExp	Create exploded assembly configuration	The explosion is for visual purposes only and does not modify the actual location of each component within the assembly.
!AsmExpReuse	Reuse Exploded View	AsmExpReuse	Reuse exist exploded view.	Reuse exist exploded view.
!AsmExpViewAuto	Auto Explode	AsmExpViewAuto	Explode all the components automatically	Explode all the components automatically
!AsmExpViewEnter	Exploded View	AsmExpViewEnter	Activate an existing exploded view or create a new one	If an existing exploded view is selected, it will be activated. But a new one will be created if it is not existed.
!AsmFlexDesign			Flexible design	
!AsmMirrorAll	Mirror	AsmMirrorAll	Mirror a component	Mirror a component. Move or Copy.
!AsmPtnAll	Pattern	AsmPtnAll	Pattern array	Pattern components. Various methods are supported including linear, circular, point to point, at pattern, at curves and at face.
!AsmSwitchExp	Exploded View Video	AsmSwitchExp	Exploded View Video	switch to another view, and save the animation in avi
!Cd3DDimPrjDwg	Inherit Dimensions from Part	Cd3DDimPrjDwg	Inherit dimensions from part or not	
!CdAllCopy	Copy	CdAllCopy	Copy entity	Copy 3D part entities. Various methods are supported including directions, points and frames (i.e., datum planes or planar faces).
!CdAllMove	Move	CdAllMove	Move entity	Move 3D part entities. Various methods are supported including directions, points and frames (i.e., datum planes or planar faces).
!CdAnalyzeComp	Analysis	CdAnalyzeComp	Analyze component display	
!CdAnchorPoint	Anchor Point	CdAnchorPoint	Create an anchor	
!CdAng1ln	Measure 1 Line	CdAng1ln	Angle between a direction and x-axis	
!CdAngArc	Measure Arc	CdAngArc	Angle subtended by an arc	
!CdAngFace	Measure Face Dihedral	CdAngFace	Angle by face dihedral	
!CdAnimCamDef	Camera Position	CdAnimCamDef	Define Camera	Location, location of the camera for the active keyframe only. Look at, a point that along with the location point defines a vector (i.e., direction) that the camera is pointing, but the camera can still twist about that vector. This is for the active keyframe only.
!CdAnimDel	Erase	CdAnimDel	Erase entities	Erase historically-generated entities.Select part entities and middle-click to erase them.
!CdAnimKeyAdd	Key Frame	CdAnimKeyAdd	Add Key Frame	It used to set the current time of the animation. It defines a time in the animation when Animation Parameters are given explicit values.
!CdAnimMotTrk	Motion Track	CdAnimMotTrk	Create motion track	
!CdAnimMotor	Add Motor	CdAnimMotor	Apply a motor power	
!CdAnimNew	New Animation	CdAnimNew	Create new animation	From the Required Input section of the command options tab, enter the Total animation time.  You can optional specify a name for the animation.
!CdAnimParamAdd	Parameter	CdAnimParamAdd	Add Animation Parameter	Using the Add Parameter icon will display all of the editable parameters in the assembly.Note that adding a parameter will automatically create a keyframe at the current animation time if one does not exist.
!CdAnimRecord	Record Animation	CdAnimRecord	Record animation to AVI	
!CdAnlyzSctDat	Surface Fit	CdAnlyzSctDat	Analyze point cloud data surface fit	Analyze the distance between individual points in a point block and a given surface that was fitted through the point block.  The ratio of a given point distance to the surface and the user specified max. distance range value determines the color of a point.
!CdAnntTblCrt	Annotation	CdAnntTblCrt	Create an annotation table	
!CdArcType	Toggle Arc	CdArcType	Toggle arc type	Toggle the curve type between a normal and a designer arc.
!CdAsmMove	Move	CdAsmMove	Move components	Move components. Various methods are supported including directions, points and frames (i.e., datum planes or planar faces).
!CdAsmMoveChld	Move	CdAsmMoveChld	Move component	
!CdAssoFtrBrk	Break Associative Import		Break the Associative Import feature.	
!CdAssoFtrUpd	Update		Update the data of the associative imported file.	
!CdAtDel	Delete...	CdAtDel	Delete entity attributes	Delete custom line attributes including color, style, and line width. Delete custom surface attributes.
!CdAtMod	Edit...	CdAtMod	Edit entity attributes	Define and apply line attributes including color, style, and line width. Attributes defined in the form can also be toggled and saved as attribute bundles.
!CdAtMod2D	Edit...	CdAtMod2D	Edit entity attributes	Edit the attributes for selected entities such as lines, text, constraint symbols, faces. etc.
!CdAtModBlk	Attributes	CdAtModBlk	Edit block entity attributes	
!CdAtPainter	Format Painter	CdAtPainter	Format painter	Copy attributes of an entity to some other entities.
!CdAttrFomatSel	Select Entity	CdAttrFomatSel	Select Entity	
!CdAutoBalloon	Auto Balloon	CdAutoBalloon	Create balloons on a drawing view automatically.	
!CdAutoResized	Automatically Resized	CdAutoResized	Automatically Resized	
!CdAuxFrameSet	CSYS	CdAuxFrameSet	CSYS	
!CdAuxFtrShare	Make External		Make sketch external.	Make sketch external.
!CdAuxFtrUnshare	Make Internal		Make sketch internal.	Make sketch internal.
!CdAxis	Datum Axis	CdAxis	Datum axis	Insert a new datum axis, which is used to establish a direction of reference.
!CdAxis2	Datum Axis	CdAxis2	Datum axis	Insert a new datum axis, which is used to establish a direction of reference.
!CdAxisAll	Datum Axis	CdAxisAll	Datum axis	Insert a new datum axis, which is used to establish a direction of reference.
!CdAxisType	Toggle External/Internal	CdAxisType	Toggle external/internal	Change internal 2D axis to and from external 2D axis.
!CdBalloonFtr	Text Balloon	CdBalloonFtr	Add text in a balloon	This command creates a part annotation text or image balloon at a selected point.
!CdBatchAttrSel	Select Entities	CdBatchAttrSel	Select Entities	
!CdBevelGear	Bevel Gear	CdBevelGear	Create bevel gear	Create bevel gear by specified parameters.
!CdBiarc3D	Convert to Arcs/Lines	CdBiarc3D	Convert curve(s) to arcs and lines	The segments will be connected end to end. At the sketch and drawing sheet levels, you can optionally specify tangency at end points, creating a more exact representations of the original curve.
!CdBlank3DPrf	Blank	CdBlank3DPrf	Blank entities	
!CdBlankDwg	Blank	CdBlankDwg	Blank entities	
!CdBlankPart	Blank	CdBlankPart	Blank entities	
!CdBlend2CrvsII	Blend	CdBlend2CrvsII	Place a blend curve between two boundary curves	Create a curve blend between two curves, lines, arcs or face edges.  Optional inputs include tangent and curvature matching, trim methods, keep side methods and curvature weight.
!CdBlend2CrvsII3	Blend	CdBlend2CrvsII3	Place a 3D blend curve between two boundary curves	Create a curve blend between two curves, lines, arcs or face edges. Select two curves or face edges near the ends to be blended.  At the Part level, select two 3D curves.  The curve blend will echo as the second curve is highlighted.
!CdBlk2DInsRSk	Custom Ready Sketch	CdBlk2DInsRSk	Custom Ready Sketch	
!CdBlk2DInsRpt	Insert block	CdBlk2DInsRpt	Insert block	
!CdBlkAtSupp	Override color attributes		Override attributes	
!CdBlkDispCns	Display inner constraints		Display the constraints in it or not	
!CdBlock2DAddEnt	Add Entity To Block	CdBlock2DAddEnt	Add Entity To Block	
!CdBlock2DCrt	Make Block	CdBlock2DCrt	Create a block	
!CdBlock2DDelAll	Erase Block and Instances		Erase the sketch block and its all references	
!CdBlock2DInst	Insert Block	CdBlock2DInst	Insert block	
!CdBlock2DRSkth	Save to Ready sketch		Save to Ready sketch	
!CdBlock2DRename	Rename		Rename a block	
!CdBlock2DRigid	Change to Rigid Block	CdBlock2DRigid	Change slecte block to rigid block	
!CdBlock2DUnlink	Unlink		Unlink block	
!CdBlock2DUpd	Regen	CdBlock2DUpd	Regen block	
!CdBlockAddTri	Add Triangle	CdBlockAddTri	Add a new triangle.	Pick three vertice to create a new triangle.
!CdBlockDelFace	Delete Face	CdBlockDelFace	Delete a face or faces from block.	Pick a face or faces from block to delete.
!CdBlockDivEdge	Split Edge	CdBlockDivEdge	Split an edge on the mesh.	Pick an edge from the mesh to split.
!CdBlockDivMesh	Divide Mesh	CdBlockDivMesh	Separate one or more triangles from the mesh.	Pick one or more triangles to divide the mesh.
!CdBlockFillHole	Fill Hole	CdBlockFillHole	Fill a hole of block.	Pick an edge of a hole to fill.
!CdBlockFlipEdge	Flip Edge	CdBlockFlipEdge	Flip an edge from block.	Pick an edge from block to flip.
