funzione	header	riga	deprecated	firma
Zw3DBomDataExport	zwapi_3dbom.h	23		ezwErrors Zw3DBomDataExport(const char *filePath)
Zw3DBomDataFree	zwapi_3dbom.h	20		ezwErrors Zw3DBomDataFree(szw3DBomData *data)
Zw3DBomDataGet	zwapi_3dbom.h	14		ezwErrors Zw3DBomDataGet(szw3DBomData *data)
Zw3DBomExcludedComponentListGet	zwapi_3dbom.h	52		ezwErrors Zw3DBomExcludedComponentListGet(int *count, szwEntityHandle **excludeList)
Zw3DBomExcludedStateSet	zwapi_3dbom.h	46		ezwErrors Zw3DBomExcludedStateSet(szwEntityHandle component, int excludeOption)
Zw3DBomFormatDataGet	zwapi_3dbom.h	40		ezwErrors Zw3DBomFormatDataGet(szw3DBomFormatData *formatData)
Zw3DBomFormatDataSet	zwapi_3dbom.h	43		ezwErrors Zw3DBomFormatDataSet(szw3DBomFormatData formatData)
Zw3DBomSettingDataFree	zwapi_3dbom.h	37		ezwErrors Zw3DBomSettingDataFree(szw3DBomSettingsData *data)
Zw3DBomSettingGet	zwapi_3dbom.h	26		ezwErrors Zw3DBomSettingGet(szw3DBomSettingsData *data)
Zw3DBomSettingSet	zwapi_3dbom.h	34		ezwErrors Zw3DBomSettingSet(szw3DBomSettingsData data)
Zw3DBomTemplateSet	zwapi_3dbom.h	49		ezwErrors Zw3DBomTemplateSet(const char *templateFile)
ZwActiveLCSGet	zwapi_datum.h	157		ezwErrors ZwActiveLCSGet(szwEntityHandle *handle)
ZwActiveLCSSet	zwapi_datum.h	151		ezwErrors ZwActiveLCSSet(szwEntityHandle handle)
ZwApplicationReactorIsRegistered	zwapi_global_apply.h	218		ezwErrors ZwApplicationReactorIsRegistered(ezwApplicationReactorType type, const zwString256 uniqueName, int *isRegistered)
ZwApplicationReactorSet	zwapi_global_apply.h	212		ezwErrors ZwApplicationReactorSet(ezwApplicationReactorType type, szwApplicationReactorData data)
ZwAssemblyConstraintDataGet	zwapi_assembly_constraint.h	22		ezwErrors ZwAssemblyConstraintDataGet(szwEntityHandle constraintHandle, szwAssemblyConstraintData *data)
ZwAssemblyConstraintDataSet	zwapi_assembly_constraint.h	25		ezwErrors ZwAssemblyConstraintDataSet(szwEntityHandle constraintHandle, szwAssemblyConstraintData data)
