comando	label_ribbon	form_dialogo	hint	descrizione
CdAlgnPrt	CustomOp	CustomOp		
CdCoolChnl	CdCoolChnl	CdCoolChnl		
CdCorCavTrmPrt1	CustomOp	CustomOp		
CdDefCorCavReg	CustomOp	CustomOp		
CdEditMotion	CdEditMotion	CdEditMotion		
CdFtrFcSplit	CustomOp	CustomOp		
CdFtrFcSplit2	CustomOp	CustomOp		
CdFtrPartSrf1	CustomOp	CustomOp		
CdHolePlug	CdHolePlug	CdHolePlug		
CdMSMTrans	CdMSMTrans	CdMSMTrans		
CdMdAddLine	CdMdAddLine	CdMdAddLine		
CdMdAirvent	CustomOp	CustomOp		
CdMdAttr	CdMdAttr	CdMdAttr		
CdMdBalBlock	CdMdBalBlock	CdMdBalBlock		
CdMdCombComp	CdMdCombComp	CdMdCombComp		
CdMdCompRef	CustomOp	CustomOp		
CdMdCoordMov	CdMdCoordMov	CdMdCoordMov		
CdMdCrPtFace	CdMdCrPtFace	CdMdCrPtFace		
CdMdCustData	CustomOp	CustomOp		
CdMdDefCCReg	CdMdDefCCReg	CdMdDefCCReg		
CdMdDefCorCav	CdMdDefCorCav	CdMdDefCorCav		
CdMdDowel	CdMdDowel	CdMdDowel		
CdMdEGP	CdMdEGP	CdMdEGP		
CdMdEPinAutoDraw	CdMdEPinAutoDraw	CdMdEPinAutoDraw		
CdMdEditRunner	CdMdEditRunner	CdMdEditRunner		
CdMdEditSurf	CdMdEditSurf	CdMdEditSurf		
CdMdEjSleeves	CdMdEjSleeves	CdMdEjSleeves		
CdMdEjectPin	CdMdEjectPin	CdMdEjectPin		
CdMdElAutoDraw	CdMdElAutoDraw	CdMdElAutoDraw		
CdMdEngrave	CustomOp	CustomOp		
CdMdExportComp	CdMdExportComp	CdMdExportComp		
CdMdExtStock	CdMdExtStock	CdMdExtStock		
CdMdFlatEJP	CdMdFlatEJP	CdMdFlatEJP		
CdMdFrame	CustomOp	CustomOp		
CdMdGate	CustomOp	CustomOp		
CdMdGerStd	CdMdGerStd	CdMdGerStd		
CdMdGroove	CustomOp	CustomOp		
CdMdGrooveProIn	CdMdGrooveProIn	CdMdGrooveProIn		
CdMdGuideBlock	CdMdGuideBlock	CdMdGuideBlock		
CdMdGuideLine	CdMdGuideLine	CdMdGuideLine		
CdMdHolePatch	CdMdHolePatch	CdMdHolePatch		
CdMdJoint	CdMdJoint	CdMdJoint		
CdMdLayDtm	CdMdLayDtm	CdMdLayDtm		
CdMdLayout	CustomOp	CustomOp		
CdMdLayout2	CdMdLayout2	CdMdLayout2		
CdMdLifter	CustomOp	CustomOp		
CdMdLifterSet	CdMdLifterSet	CdMdLifterSet		
CdMdLimPole	CdMdLimPole	CdMdLimPole		
CdMdLocBSide	CdMdLocBSide	CdMdLocBSide		
CdMdLocBTSide	CdMdLocBTSide	CdMdLocBTSide		
CdMdLocBlock	CdMdLocBlock	CdMdLocBlock		
CdMdLocRing	CdMdLocRing	CdMdLocRing		
CdMdLoop	CustomOp	CustomOp		
CdMdMerge	CustomOp	CustomOp		
CdMdMoldBase	CdMdMoldBase	CdMdMoldBase		
CdMdMoldEdit	CdMdMoldEdit	CdMdMoldEdit		
CdMdMrkPtF	CustomOp	CustomOp		
CdMdOilGroove	CustomOp	CustomOp		
CdMdParLock	CdMdParLock	CdMdParLock		
CdMdParaSlide	CdMdParaSlide	CdMdParaSlide		
CdMdPartLines	CustomOp	CustomOp		
CdMdPartLines2	CustomOp	CustomOp		
CdMdPatchSrf	CustomOp	CustomOp		
CdMdPocket	CdMdPocket	CdMdPocket		
CdMdPrtSf2	CustomOp	CustomOp		
CdMdPrtSfCrt	CdMdPrtSfCrt	CdMdPrtSfCrt		
CdMdPullBlot	CdMdPullBlot	CdMdPullBlot		
CdMdRefPocket	CustomOp	CustomOp		
CdMdRefTrimEP	CdMdRefTrimEP	CdMdRefTrimEP		
CdMdRegAutoDef	CdMdRegAutoDef	CdMdRegAutoDef		
CdMdRegSeed	CdMdRegSeed	CdMdRegSeed		
CdMdRing	CdMdJoint	CdMdJoint		
CdMdRunner	CustomOp	CustomOp		
CdMdScale	CustomOp	CustomOp		
CdMdScrew	CdMdScrew	CdMdScrew		
CdMdSetAt	CdMdSetAt	CdMdSetAt		
CdMdSigCool	CustomOp	CustomOp		
CdMdSimplify	CdMdSimplify	CdMdSimplify		
CdMdSketch	CdMdSketch	CdMdSketch		
CdMdSleeves	CdMdSleeves	CdMdSleeves		
CdMdSlide	CustomOp	CustomOp		
CdMdSpTypSet	CdMdSpTypSet	CdMdSpTypSet		
CdMdSprBush	CdMdSprBush	CdMdSprBush		
CdMdSpring	CdMdSpring	CdMdSpring		
CdMdStdCopy	CdMdStdCopy	CdMdStdCopy		
CdMdStdDel	CdMdStdDel	CdMdStdDel		
CdMdStdEdit	CdMdStdEdit	CdMdStdEdit		
CdMdStdLookup	CdMdStdLookup	CdMdStdLookup		
CdMdStdMov	CdMdStdMov	CdMdStdMov		
CdMdStdUpdate	CdMdStdUpdate	CdMdStdUpdate		
CdMdStock	CdMdStock	CdMdStock		
CdMdStock2	CustomOp	CustomOp		
CdMdStopPin	CdMdStopPin	CdMdStopPin		
CdMdSupPils	CdMdSupPils	CdMdSupPils		
CdMdTPScrew	CdMdTPScrew	CdMdTPScrew		
CdMdTenLinks	CdMdTenLinks	CdMdTenLinks		
CdMdTrimEP	CustomOp	CustomOp		
CdMdTrimEP1	CustomOp	CustomOp		
CdMdTrimEP2	CdMdTrimEP2	CdMdTrimEP2		
CdMdUserDefined	CdMdUserDefined	CdMdUserDefined		
CdMdWeaBlock	CdMdWeaBlock	CdMdWeaBlock		
CdMdWedLock	CdMdWedLock	CdMdWedLock		
CdMdWell	CustomOp	CustomOp		
CdMoldPatchSf	CdMoldPatchSf	CdMoldPatchSf		
CdMoldRegAlz	CdMoldRegAlz	CdMoldRegAlz		
CdMoldRegSplit	CdMoldRegSplit	CdMoldRegSplit		
CdMotIsoComp	CdMotIsoComp	CdMotIsoComp		
CdMotionBlank	CdMotionBlank	CdMotionBlank		
CdMotionCmd	CdMotionCmd	CdMotionCmd		
CdMotionNew	CdEditMotion	CdEditMotion		
CdPrtLnShowGap	CdPrtLnShowGap	CdPrtLnShowGap		
CdSplitCC	CustomOp	CustomOp		
CdTRScale3D	CdScale3D	CdScale3D		
CdTRStock	CustomOp	CustomOp		
CdTrAlign	CustomOp	CustomOp		
CdTrBreak	CustomOp	CustomOp		
CdTrCavColor	CustomOp	CustomOp		
CdTrCoreCave	CustomOp	CustomOp		
CdTrCoreColor	CustomOp	CustomOp		
CdTrEP1	CustomOp	CustomOp		
CdTrEP2	CustomOp	CustomOp		
CdTrHole1	CustomOp	CustomOp		
CdTrHole2	CustomOp	CustomOp		
CdTrHole3	CustomOp	CustomOp		
CdTrImpPart	CdInsPart	CdInsPart		
CdTrInsPart	CustomOp	CustomOp		
CdTrInsPart2	CdTrMultCmp2	CdTrMultCmp2		
CdTrMBAss2	CustomOp	CustomOp		
CdTrMBase1	CustomOp	CustomOp		
CdTrObjVis	CustomOp	CustomOp		
CdTrPartPlane	CustomOp	CustomOp		
CdTrSplite	CustomOp	CustomOp		
CdTransform	CdTransform	CdTransform		
DmPipFlow	DmPipFlow	DmPipFlow		
Hrn2DFixViewSet	Hrn2DFixViewSet	Hrn2DFixViewSet		
Hrn2DView	Hrn2DView	Hrn2DView		
HrnActPart	HrnActPart	HrnActPart		
HrnAtRtDebug	HrnAtRtDebug	HrnAtRtDebug		
HrnAutoDimLin	HrnAutoDimLin	HrnAutoDimLin		
HrnBranchCrt	HrnBranchCrt	HrnBranchCrt		
HrnBranchMerge	HrnBranchMerge	HrnBranchMerge		
HrnBundleTblCrt	HrnBundleTblCrt	HrnBundleTblCrt		
HrnConnTblCrt	HrnConnTblCrt	HrnConnTblCrt		
HrnContTblCrt	HrnContTblCrt	HrnContTblCrt		
HrnDmLin	DmLin	DmLin		
HrnDrawingDrag	HrnDrawingDrag	HrnDrawingDrag		
HrnExtractPathKey	HrnExtractPathKey	HrnExtractPathKey		
HrnGLConnTblCrt	HrnGLConnTblCrt	HrnGLConnTblCrt		
HrnInqNum	HrnInqNum	HrnInqNum		
HrnInsPnt	HrnInsPnt	HrnInsPnt		
HrnLeadPath	HrnLeadPath	HrnLeadPath		
HrnLeadPathSet	HrnLeadPathSet	HrnLeadPathSet		
HrnMdRotSeg	HrnMdRotSeg	HrnMdRotSeg		
HrnMdSrkSeg	HrnMdSrkSeg	HrnMdSrkSeg		
HrnMgrScrollTo	HrnMgrScrollTo	HrnMgrScrollTo		
HrnMtrlTblCrt	HrnMtrlTblCrt	HrnMtrlTblCrt		
HrnNailBoard	HrnNailBoard	HrnNailBoard		
HrnNailRegen	HrnNailRegen	HrnNailRegen		
HrnNetworkMerge	HrnNetworkMerge	HrnNetworkMerge		
HrnObjDeleteKey	HrnObjDeleteKey	HrnObjDeleteKey		
HrnObjRename	HrnObjRename	HrnObjRename		
HrnPin	HrnPin	HrnPin		
HrnPubPort	HrnPubPort	HrnPubPort		
HrnRefObjDeleteKey	HrnRefObjDeleteKey	HrnRefObjDeleteKey		
HrnRemFromNetwork	HrnRemFromNetwork	HrnRemFromNetwork		
HrnSegConcat	HrnSegConcat	HrnSegConcat		
HrnSegReplace	HrnSegReplace	HrnSegReplace		
HrnSegmentDel	HrnSegmentDel	HrnSegmentDel		
HrnSelectPort	HrnSelectPort	HrnSelectPort		
HrnStdPrtView	HrnStdPrtView	HrnStdPrtView		
HrnStdTblCrt	HrnStdTblCrt	HrnStdTblCrt		
HrnWireTblCrt	HrnWireTblCrt	HrnWireTblCrt		
ID_!AnimAddAppKfrm	Animation			
ID_!AnimAddMotor	Animation			
ID_!AnimAddViewKfrm	Animation			
ID_!AnimAlnKfrmCmd	Assembly			
ID_!AnimBandAnal	Animation			
ID_!AnimImportExp	Animation			
ID_!AnimInferCrt	Animation			
ID_!AnimNewAnimInst	Animation			
ID_!AnimPosKfrmCmd	Animation			
ID_!AnimTrkCrt	Animation			
ID_!AsAlnAll2	Assembly			
ID_!AsAlnFix	Assembly			
ID_!AsMcmPulley	Assembly			
ID_!AsMechAlnAll	Assembly			
ID_!AsPipAlnAll	Piping			
ID_!AsUnivAlign	Assembly			
ID_!AsmExpAddStep	Exploded View			
ID_!AsmExpAddTrail	Exploded View			
ID_!AsmExpAutoTrail	Exploded View			
ID_!AsmExpReuse	Exploded View			
ID_!AsmExpViewAuto	Exploded View			
ID_!AsmMirrorAll2	Assembly			
ID_!AsmPtnAll	Assembly			
ID_!AsmSwitchExp	Exploded View			
ID_!CdAllCopy	Wireframe			
ID_!CdAllMove	Wireframe			
ID_!CdAnntTblCrt	Layout			
ID_!CdAtPainter	Tools			
ID_!CdAutoBalloon	Dimension			
ID_!CdBalloonFtr	PMI			
ID_!CdBlend2CrvsII	Sketch			
ID_!CdBlend2CrvsII3	Wireframe			
ID_!CdBlockAddTri	Point Cloud			
ID_!CdBlockCurvePrjOnMesh	Point Cloud			
ID_!CdBlockDelFace	Point Cloud			
ID_!CdBlockDivEdge	Point Cloud			
ID_!CdBlockDivMesh	Point Cloud			
ID_!CdBlockFillHole	Point Cloud			
ID_!CdBlockFlipEdge	Point Cloud			
ID_!CdBlockFlipFace	Point Cloud			
ID_!CdBomTblCrt	Layout			
ID_!CdC3Drag	Sketch			
ID_!CdCllctTsltNds	Point Cloud			
ID_!CdClrChk	Assembly			
ID_!CdCnsAll3DPrf	Sketch			
ID_!CdCompExtract	Data Exchange			
ID_!CdCompSetPart	Assembly			
ID_!CdCr3dEllp	Wireframe			
ID_!CdCrossSection	Point Cloud			
ID_!CdCvCombTeeth	Inquire			
ID_!CdCvCpDraw	Inquire			
ID_!CdCvModII	Drawing			
ID_!CdCvModII3D	Wireframe			
ID_!CdCvModII3DPrf	Sketch			
ID_!CdDeCopy	Direct Edit			
ID_!CdDeMove	Direct Edit			
ID_!CdDelTinyEdgs	Heal			
ID_!CdDst2All	Inquire			
ID_!CdDstAll	Inquire			
ID_!CdDwgOrigin	Tools			
ID_!CdDynSection	Inquire			
ID_!CdDynSectionCm	Inquire			
ID_!CdEditAllPrtCfg	Tools			
ID_!CdEditCompPart	Assembly			
ID_!CdEdmTblCrt	Layout			
ID_!CdEnterAnim	Assembly			
ID_!CdEnvScene	Visualize			
ID_!CdEqCurve	Wireframe			
ID_!CdEqCurve2D	Sketch			
ID_!CdFaceBndRplc	Heal			
ID_!CdFaceCnsMove	Direct Edit			
ID_!CdFaceDimMove	Direct Edit			
ID_!CdFaceEnlarge	Free Form			
ID_!CdFaceExplode	Heal			
ID_!CdFaceExt2	Heal			
ID_!CdFacesetFlip	Heal			
ID_!CdFcsPrimFix	Heal			
ID_!CdFileOpen3	Quick Primer			
ID_!CdFitCrv	Drawing			
ID_!CdFitPlane	Point Cloud			
ID_!CdFlatSrfII	Free Form			
ID_!CdGapTighten	Heal			
ID_!CdGeodesicPath	Point Cloud			
ID_!CdGeomCopy	Data Exchange			
ID_!CdGeomExportII	Data Exchange			
ID_!CdHealTtAll	Heal			
ID_!CdHoleCallMk	Dimension			
ID_!CdHoleTblMk2	Layout			
ID_!CdIferChk1	Piping			
ID_!CdImportMesh	Point Cloud			
ID_!CdInqAng2All	Inquire			
ID_!CdInqAngAll	Inquire			
ID_!CdInqEntity	Inquire			
ID_!CdInqEntity2	Inquire			
ID_!CdInqOpnEdg	Heal			
ID_!CdInqPlistCrv	Inquire			
ID_!CdInqPlistSrf	Inquire			
ID_!CdInqSrfProp	Inquire			
ID_!CdInqTarg	Drawing Packet			
ID_!CdInsPart	Data Exchange			
ID_!CdInsSketch	Data Exchange			
ID_!CdInsSubPart	Tools			
ID_!CdInstNewPart	Electrode			
ID_!CdInstPart3	Electrode			
ID_!CdLiteDel	Visualize			
ID_!CdLiteDelAll	Visualize			
ID_!CdLiteMod	Visualize			
ID_!CdLites	Visualize			
ID_!CdPMIBalloon	PMI			
ID_!CdPMICoord	PMI			
ID_!CdPMIDatumFs	PMI			
ID_!CdPMIDatumT	PMI			
ID_!CdPMIDimAll	PMI			
ID_!CdPMIDimAng	PMI			
ID_!CdPMIDimArc	PMI			
ID_!CdPMIDimChamfer	PMI			
ID_!CdPMIDimHole	PMI			
ID_!CdPMIDimLin	PMI			
ID_!CdPMIDimRad	PMI			
ID_!CdPMIFCS	PMI			
ID_!CdPMIIntsectSym	PMI			
ID_!CdPMILabel	PMI			
ID_!CdPMIStack	PMI			
ID_!CdPMISym	PMI			
ID_!CdPMISymInsert	PMI			
ID_!CdPMISymSrf	PMI			
ID_!CdPMISymWeldCrt	PMI			
ID_!CdPartBounding	PMI			
ID_!CdPartModDim	Wireframe			
ID_!CdPartPickSet	Tools			
ID_!CdPartPubSet	Data Exchange			
ID_!CdPartRef	Harness			
ID_!CdPlane	Sketch			
ID_!CdPlistCrv	Wireframe			
ID_!CdPrfDmBatch	Sketch			
ID_!CdProfNew	Weldments			
ID_!CdPtImport	Point Cloud			
ID_!CdRefitEdgCrv	Heal			
ID_!CdRevTblCrt	Layout			
ID_!CdRootDel	Drawing Packet			
ID_!CdRootRename2	Drawing Packet			
ID_!CdRoughExpand	Point Cloud			
ID_!CdScale3D	Wireframe			
ID_!CdSectionAlz	Inquire			
ID_!CdSewEdgGap	Heal			
ID_!CdSf2Pln	Heal			
ID_!CdSfFitBnd	Free Form			
ID_!CdSfFitBnd2	Point Cloud			
ID_!CdSfInqKrv	Inquire			
ID_!CdSfMod	Free Form			
ID_!CdShapeSew	Heal			
ID_!CdSheetInst	Drawing Packet			
